J/Q-B/C/c [0.00, 0.35, 0.65, 0.00, 0.00]
J/Q-B/R/C [0.00, 0.01, 0.98, 0.00, 0.00]
J/Q-c/B/C [0.00, 0.77, 0.22, 0.00, 0.00]
J/Q-c/c/B [0.00, 0.00, 0.00, 0.00, 0.99]
J/Q-c/c/c [0.00, 0.01, 0.99, 0.00, 0.00]
J/K-B/C/B [0.00, 0.00, 0.00, 0.10, 0.89]
J/K-B/C/c [0.00, 0.47, 0.52, 0.00, 0.00]
J/K-B/R/C [0.00, 0.01, 0.98, 0.00, 0.00]
J/K-c/B/C [0.01, 0.56, 0.41, 0.01, 0.01]
J/K-c/c/B [0.00, 0.00, 0.00, 0.05, 0.95]
J/K-c/c/c [0.00, 0.29, 0.71, 0.00, 0.00]
Q/Q-B/C/B [0.18, 0.00, 0.00, 0.82, 0.00]
Q/Q-B/C/c [0.01, 0.96, 0.02, 0.01, 0.01]
Q/Q-B/R/C [0.01, 0.67, 0.29, 0.01, 0.01]
Q/Q-c/B/C [0.01, 0.50, 0.46, 0.01, 0.01]
Q/Q-c/c/B [0.02, 0.00, 0.00, 0.98, 0.00]
Q/Q-c/c/c [0.01, 0.95, 0.02, 0.01, 0.01]
Q/K-B/C/B [0.24, 0.00, 0.00, 0.00, 0.75]
Q/K-B/C/c [0.05, 0.12, 0.72, 0.05, 0.05]
Q/K-B/R/C [0.00, 0.40, 0.59, 0.00, 0.00]
Q/K-c/B/C [0.00, 0.75, 0.24, 0.00, 0.00]
Q/K-c/c/B [0.18, 0.00, 0.00, 0.24, 0.58]
Q/K-c/c/c [0.00, 0.00, 1.00, 0.00, 0.00]
K/-c/B/R/R [1.00, 0.00, 0.00, 0.00, 0.00]
J/-c/B/R/R [0.99, 0.00, 0.00, 0.00, 0.00]
Q/-c/B/R/R [1.00, 0.00, 0.00, 0.00, 0.00]
K/J-B/C/B/R [0.96, 0.00, 0.00, 0.04, 0.00]
K/J-B/C/c/B [0.68, 0.00, 0.00, 0.16, 0.16]
K/J-B/R/C/B [0.08, 0.00, 0.00, 0.92, 0.00]
K/J-B/R/C/c [0.00, 0.93, 0.07, 0.00, 0.00]
K/J-B/R/R/C [0.00, 0.52, 0.48, 0.00, 0.00]
K/J-c/B/C/B [0.13, 0.00, 0.00, 0.87, 0.00]
K/J-c/B/C/c [0.00, 1.00, 0.00, 0.00, 0.00]
K/J-c/B/R/C [0.00, 0.56, 0.44, 0.00, 0.00]
K/J-c/c/B/R [0.10, 0.00, 0.00, 0.89, 0.00]
K/J-c/c/c/B [0.01, 0.00, 0.00, 0.05, 0.93]
K/Q-B/C/B/R [0.13, 0.00, 0.00, 0.28, 0.58]
K/Q-B/C/c/B [0.21, 0.00, 0.00, 0.09, 0.70]
K/Q-B/R/C/B [0.86, 0.00, 0.00, 0.12, 0.02]
K/Q-B/R/C/c [0.00, 0.00, 1.00, 0.00, 0.00]
K/Q-B/R/R/C [0.00, 0.46, 0.53, 0.00, 0.00]
K/Q-c/B/C/B [0.24, 0.00, 0.00, 0.04, 0.72]
K/Q-c/B/C/c [0.00, 0.04, 0.96, 0.00, 0.00]
K/Q-c/B/R/C [0.11, 0.34, 0.33, 0.11, 0.11]
K/Q-c/c/B/R [0.31, 0.00, 0.00, 0.69, 0.00]
K/Q-c/c/c/B [0.01, 0.00, 0.00, 0.44, 0.55]
J/K-B/C/B/R [0.00, 0.00, 0.00, 0.10, 0.90]
J/K-B/C/c/B [0.00, 0.00, 0.00, 0.45, 0.54]
J/K-B/R/C/B [0.01, 0.01, 0.01, 0.01, 0.97]
J/K-B/R/C/c [0.01, 0.11, 0.87, 0.01, 0.01]
J/K-B/R/R/C [0.00, 0.11, 0.88, 0.00, 0.00]
J/K-c/B/C/B [0.00, 0.00, 0.00, 0.28, 0.72]
J/K-c/B/C/c [0.20, 0.20, 0.20, 0.20, 0.20]
