A/Q/n-c/c [0.00, 0.85, 0.15, 0.00, 0.00]
J/Q/d-B/C [0.01, 0.92, 0.04, 0.01, 0.01]
J/Q/d-c/c [0.00, 0.16, 0.84, 0.00, 0.00]
Q/T/d-B/C [0.00, 0.84, 0.15, 0.00, 0.00]
Q/T/d-c/c [0.00, 0.16, 0.84, 0.00, 0.00]
J/J/n-B/C [0.01, 0.58, 0.38, 0.01, 0.01]
J/J/n-c/c [0.00, 0.62, 0.38, 0.00, 0.00]
K/Q/d-B/C [0.00, 0.49, 0.51, 0.00, 0.00]
K/Q/d-c/c [0.01, 0.29, 0.68, 0.01, 0.01]
A/T/n-B/C [0.00, 0.83, 0.17, 0.00, 0.00]
A/T/n-c/c [0.00, 0.43, 0.57, 0.00, 0.00]
Q/A/d-B/C [0.00, 0.71, 0.27, 0.00, 0.00]
Q/A/d-c/c [0.01, 0.22, 0.76, 0.01, 0.01]
T/J/d-B/C [0.01, 0.90, 0.09, 0.01, 0.01]
T/J/d-c/c [0.06, 0.55, 0.27, 0.06, 0.06]
T/K/d-B/C [0.03, 0.26, 0.66, 0.03, 0.03]
T/K/d-c/c [0.00, 0.07, 0.93, 0.00, 0.00]
K/J/n-B/C [0.00, 0.05, 0.95, 0.00, 0.00]
K/J/n-c/c [0.00, 0.84, 0.15, 0.00, 0.00]
K/A/d-B/C [0.01, 0.73, 0.24, 0.01, 0.01]
K/A/d-c/c [0.00, 0.57, 0.42, 0.00, 0.00]
A/J/d-B/C [0.01, 0.29, 0.68, 0.01, 0.01]
A/J/d-c/c [0.00, 0.00, 1.00, 0.00, 0.00]
J/T/d-B/C [0.00, 0.84, 0.16, 0.00, 0.00]
J/T/d-c/c [0.02, 0.93, 0.02, 0.02, 0.02]
T/Q/d-B/C [0.00, 0.76, 0.24, 0.00, 0.00]
T/Q/d-c/c [0.00, 0.19, 0.80, 0.00, 0.00]
T//n-B/R/R [1.00, 0.00, 0.00, 0.00, 0.00]
T//n-c/B/R [0.03, 0.00, 0.00, 0.97, 0.00]
A//n-B/R/R [1.00, 0.00, 0.00, 0.00, 0.00]
A//n-c/B/R [0.08, 0.00, 0.00, 0.92, 0.00]
Q//n-B/R/R [1.00, 0.00, 0.00, 0.00, 0.00]
Q//n-c/B/R [0.26, 0.00, 0.00, 0.74, 0.00]
J//n-B/R/R [1.00, 0.00, 0.00, 0.00, 0.00]
J//n-c/B/R [0.25, 0.00, 0.00, 0.75, 0.00]
K//n-B/R/R [1.00, 0.00, 0.00, 0.00, 0.00]
K//n-c/B/R [0.16, 0.00, 0.00, 0.84, 0.00]
T/A/d-B/C/B [0.38, 0.01, 0.01, 0.32, 0.27]
T/A/d-B/C/c [0.01, 0.94, 0.01, 0.01, 0.01]
T/A/d-B/R/C [0.00, 0.25, 0.73, 0.00, 0.00]
T/A/d-c/B/C [0.00, 0.63, 0.37, 0.00, 0.00]
T/A/d-c/c/B [0.03, 0.00, 0.00, 0.01, 0.96]
T/A/d-c/c/c [0.01, 0.04, 0.91, 0.01, 0.01]
A/A/n-B/C/B [0.57, 0.00, 0.00, 0.43, 0.00]
A/A/n-B/C/c [0.00, 0.79, 0.21, 0.00, 0.00]
A/A/n-B/R/C [0.00, 0.88, 0.12, 0.00, 0.00]
A/A/n-c/B/C [0.00, 0.80, 0.20, 0.00, 0.00]
A/A/n-c/c/B [0.34, 0.01, 0.01, 0.62, 0.01]
A/A/n-c/c/c [0.01, 0.59, 0.37, 0.01, 0.01]
A/K/n-B/C/B [0.36, 0.00, 0.00, 0.64, 0.00]
A/K/n-B/C/c [0.00, 0.67, 0.32, 0.00, 0.00]
A/K/n-B/R/C [0.00, 0.94, 0.06, 0.00, 0.00]
A/K/n-c/B/C [0.00, 0.41, 0.59, 0.00, 0.00]
A/K/n-c/c/B [0.46, 0.00, 0.00, 0.54, 0.00]
